Animal [type=MAMMAL, eyeColor=BROWN, withWool=true]
Animal [type=MAMMAL, eyeColor=BROWN, withWool=true]
Animal [type=MAMMAL, eyeColor=BLUE, withWool=false]
Animal [type=MAMMAL, eyeColor=GREEN, withWool=false]
Animal [type=MAMMAL, eyeColor=BLACK, withWool=true]
Animal [type=MAMMAL, eyeColor=MIXED, withWool=true]
Animal [type=FISH, eyeColor=BROWN, withWool=false]
Animal [type=FISH, eyeColor=BLUE, withWool=false]
Animal [type=FISH, eyeColor=GRAY, withWool=false]
Animal [type=FISH, eyeColor=GRAY, withWool=false]
Animal [type=FISH, eyeColor=BLACK, withWool=false]
Animal [type=BIRD, eyeColor=BROWN, withWool=false]
Animal [type=BIRD, eyeColor=GRAY, withWool=false]
Animal [type=BIRD, eyeColor=GRAY, withWool=false]
Animal [type=REPTILE, eyeColor=MIXED, withWool=false]
Animal [type=REPTILE, eyeColor=MIXED, withWool=false]
Animal [type=AMPHIBIAN, eyeColor=GREEN, withWool=false]
Animal [type=ARTHROPOD, eyeColor=BLACK, withWool=false]
