Barrel [amount= 394.59, storedMaterial=solvent, whichItIsMade= WOODEN]
Barrel [amount= 237.38, storedMaterial=ketchup, whichItIsMade= METAL]
Barrel [amount= 224.32, storedMaterial=chloramine, whichItIsMade= METAL]
Barrel [amount= 250.55, storedMaterial=honey, whichItIsMade= METAL]
Barrel [amount= 54.11, storedMaterial=mercury, whichItIsMade= METAL]
Barrel [amount= 207.28, storedMaterial=hydrogen_peroxide, whichItIsMade= PLASTIC]
Barrel [amount= 178.89, storedMaterial=blood, whichItIsMade= METAL]
Barrel [amount= 215.66, storedMaterial=oil, whichItIsMade= PLASTIC]
Barrel [amount= 182.29, storedMaterial=varnish, whichItIsMade= WOODEN]
Barrel [amount= 174.52, storedMaterial=ghee, whichItIsMade= WOODEN]
Barrel [amount= 36.14, storedMaterial=chloramine, whichItIsMade= PLASTIC]
Barrel [amount= 276.47, storedMaterial=lemonade, whichItIsMade= WOODEN]
Barrel [amount= 156.44, storedMaterial=nectar, whichItIsMade= PLASTIC]
Barrel [amount= 10.92, storedMaterial=oil, whichItIsMade= PLASTIC]
Barrel [amount= 184.78, storedMaterial=oil, whichItIsMade= PLASTIC]
Barrel [amount= 99.26, storedMaterial=ink, whichItIsMade= PLASTIC]
Barrel [amount= 223.62, storedMaterial=ghee, whichItIsMade= PLASTIC]
Barrel [amount= 272.84, storedMaterial=blood, whichItIsMade= WOODEN]
Barrel [amount= 135.5, storedMaterial=jelly, whichItIsMade= PLASTIC]
Barrel [amount= 374.53, storedMaterial=compote, whichItIsMade= PLASTIC]
Person [lastName=Selezneva, age=50, gender=FEMALE]
